exac_id,name
amnhp_1000124,"Basler, Thomas"
amnhp_1000125,"Bassler, Harvey, 1883-1950"
amnhp_1000126,"Batchelder, Charles Foster, 1856-1954"
amnhp_1000127,"Bateson, Gregory, 1904-1980"
amnhp_1000128,"Batten, Roger Lyman"
amnhp_1000129,"Batty, Joseph H., d. 1906"
amnhp_1000130,"Bayley, William Shirley, 1861-1943"
amnhp_1000131,"Baynes, Ernest Harold, 1868-1925"
amnhp_1000132,"Bé, Allan W. H., 1921-"
amnhp_1000133,"Beach, Chester, 1881-1956"
amnhp_1000134,"Beach, Frank A. (Frank Ambrose), 1911-1988"
amnhp_1000135,"Beach, Jessie G."
amnhp_1000136,"Beale, Clara Mabel"
amnhp_1000137,"Beale, Jessie Tarbox"
amnhp_1000138,"Beard, W. H. (William Holbrook), 1824-1900"
amnhp_1000140,"Beck, Walter, 1864-1954"
amnhp_1000141,"Beck, Bodog Felix, 1868-1942"
amnhp_1000142,"Beck, Rollo Howard, 1870-1950"
amnhp_1000143,"Becker, Larry"
amnhp_1000144,"Beebe, Frank Lyman, 1914-2008"
amnhp_1000145,"Beebe, William, 1877-1962"
amnhp_1000146,"Beelitz, Paul F."
amnhp_1000147,"Beers, Harry F."
amnhp_1000148,"Behm, Hans J."
amnhp_1000149,"Beil, Carlton"
amnhp_1000150,"Beinecke, William"
amnhp_1000151,"Belanske, William E., 1892-1945"
amnhp_1000152,"Bell, Ernest Layton"
amnhp_1000153,"Bell, Walter Dalrymple Maitland, 1880-1951"
amnhp_1000154,"Belmont, August, IV"
amnhp_1000155,"Bement, Clarence S. (Clarence Sweet), 1843-1923"
amnhp_1000156,"Benedict, Ruth, 1887-1948"
amnhp_1000157,"Beneker, Katherine"
amnhp_1000158,"Benesh, Louis A."
amnhp_1000159,"Benkert, William R."
amnhp_1000160,"Bennett, Dorothy A. (Dorothy Agnes), 1909-1999"
amnhp_1000161,"Bennett, Wendell Clark, 1905-1953"
amnhp_1000162,"Bennett-Mendez, Kate"
amnhp_1000163,"Benson, John Prentiss, 1865-1947"
amnhp_1000164,"Benson, Ray E."
amnhp_1000165,"Bequaert, Joseph C. (Joseph Charles), 1886-"
amnhp_1000166,"Berg, Carl J."
amnhp_1000167,"Berg, L. S. (Lev Semenovich), 1876-1950"
amnhp_1000168,"Berger, Henry"
amnhp_1000169,"Berggren, William A."
amnhp_1000170,"Bergmann, Eugene"
amnhp_1000171,"Berkey, Charles Peter, 1867-"
amnhp_1000172,"Berman, Harry"
amnhp_1000173,"Berman, Louis"
amnhp_1000174,"Bermudez, Ramon"
amnhp_1000175,"Bernard, Harold 'Hal'"
amnhp_1000176,"Bernard, Lewis W."
amnhp_1000177,"Bernheimer, Charles L. (Charles Leopold), 1864-1944"
amnhp_1000178,"Berry, Edward Wilber, 1875-1945"
amnhp_1000179,"Bessemer, Auriel"
amnhp_1000180,"Betts, Louis"
amnhp_1000181,"Betts, Wyllys R."
amnhp_1000182,"Beutenmüller, William, 1864-1934"
amnhp_1000183,"Biblowit, Myra"
amnhp_1000184,"Bickmore, Albert S. (Albert Smith), 1839-1914"
amnhp_1000185,"Bierstadt, Albert, 1830-1902"
amnhp_1000186,"Bierstadt, Karen"
amnhp_1000187,"Bierwert, Thane L."
amnhp_1000188,"Bilka, Louis G"
amnhp_1000189,"Bingham, Harry Payne"
amnhp_1000190,"Bingham,  Hiram, 1875-1956"
amnhp_1000191,"Birckhead, Hugh"
amnhp_1000192,"Bird, Junius Bouton, 1907-1982"
amnhp_1000193,"Bird, Roland T. (Roland Thaxter), 1899-1978"
amnhp_1000194,"Bishop, Carl Whiting, 1881-1942"
amnhp_1000195,"Bishop, Heber R. (Heber Reginald), 1840-1902"
amnhp_1000196,"Bissonnette, Thomas Hume"
amnhp_1000197,"Blackwelder, Richard E."
amnhp_1000198,"Blair, Albert Patrick"
amnhp_1000199,"Blair, Floyd"
amnhp_1000200,"Blair, W. Reid (William Reid), 1875-"
amnhp_1000201,"Blakeley, Dudley"
amnhp_1000202,"Blakemore, Thomas L."
amnhp_1000204,"Blanc, Alberto Carlo"
amnhp_1000205,"Blaschka, Rudolf, 1857-1939"
amnhp_1000206,"Blaschke, Frederic A., 1881-1938"
amnhp_1000207,"Blatchford, Richard Milford, 1798-1875"
amnhp_1000208,"Blinken, Melinda"
amnhp_1000209,"Bliss, Dorothy E."
amnhp_1000210,"Bliss, Robert Woods, 1875-1962"
amnhp_1000211,"Block, Otto"
amnhp_1000212,"Blodgett, William T."
amnhp_1000213,"Boardman, John"
amnhp_1000214,"Boas, Franz, 1858-1942"
amnhp_1000215,"Bobrovich, Mildred"
amnhp_1000216,"Bodmer, Karl, 1809-1893"
amnhp_1000217,"Bodry-Sanders, Penelope, 1944-"
amnhp_1000218,"Boenschenstein, Harold"
amnhp_1000219,"Boesenberg, Joseph"
amnhp_1000220,"Bogert, Charles M. (Charles Mitchill), 1908-1992"
amnhp_1000221,"Boggs, Barbara"
amnhp_1000222,"Bogoras, Waldemar, 1865-1936"
amnhp_1000223,"Boll, Jacob"
amnhp_1000224,"Boltin, Lee"
amnhp_1000225,"Bolton, Herbert Eugene, 1870-1953"
amnhp_1000226,"Bolton, Reginald Pelham, 1856-1942"
amnhp_1000227,"Bone, A. T. C."
amnhp_1000228,"Borden, Richard"
amnhp_1000229,"Bordner, Inez E."
amnhp_1000230,"Borne, Mortimer"
amnhp_1000231,"Borup, George, 1885-1912"
amnhp_1000232,"Bostelmann, Else"
amnhp_1000233,"Boulenger, George Albert, 1858-1937"
amnhp_1000234,"Boulton, Laura, 1899-1980"
amnhp_1000235,"Bowen, Hope L."
amnhp_1000236,"Bowen, Norman Levi, 1887-1956"
amnhp_1000237,"Bowen, Rufus Earl"
amnhp_1000238,"Bowdoin, George Sullivan"
amnhp_1000239,"Bowman, Isaiah, 1878-1950"
amnhp_1000240,"Boyd, Donald Wilkin"
amnhp_1000241,"Boyle, Howarth S."
amnhp_1000242,"Boyer, Jane D. Rouillion"
amnhp_1000243,"Bradford, William, 1823-1892"
amnhp_1000244,"Bradley, D. F. Levett"
amnhp_1000245,"Brady, Nicholas F."
amnhp_1000246,"Brady, Shirley"
amnhp_1000247,"Bragg, William Henry, 1862-1942"
amnhp_1000248,"Brand, Albert R. (Albert Rich)"
amnhp_1000249,"Brandreth, Courtenay"
amnhp_1000250,"Branley, Franklyn Mansfield, 1915-2002"
amnhp_1000251,"Brannigan, Gladys, 1882-1944"
amnhp_1000252,"Brasher, Rex, 1869-1960"
amnhp_1000253,"Brass, L. J. (Leonard J.)"
amnhp_1000254,"Brauner, Florence"
amnhp_1000255,"Breasted, James Henry, 1865-1935"
amnhp_1000256,"Breder, Charles M. (Charles Marcus), 1897-1983"
amnhp_1000257,"Breen, Ann"
amnhp_1000258,"Breslin, Carol"
amnhp_1000259,"Brewer, George"
amnhp_1000260,"Brewer, T. M. (Thomas Mayo), 1814-1880"
amnhp_1000261,"Brewster, Frederick F."
amnhp_1000262,"Brewster, William, 1851-1919"
amnhp_1000263,"Briffault, Robert, 1876-1948"
amnhp_1000264,"Britton, Nathaniel Lord, 1859-1934"
amnhp_1000265,"Britton, Wilton Everett, 1868-1939"
amnhp_1000266,"Brodsky, Daniel"
amnhp_1000267,"Bromley, Stanley W."
amnhp_1000268,"Bromner, Hedin"
amnhp_1000269,"Brooks, Allan, 1869-1946"
amnhp_1000270,"Brooks, Charles Franklin, 1891-1958"
amnhp_1000271,"Brooks, S. C."
amnhp_1000272,"Broom, Robert, 1866-1951"
amnhp_1000273,"Brophy, Elizabeth M."
amnhp_1000274,"Brougham, Jason"
amnhp_1000275,"Brouwer, Dirk, 1902-"
amnhp_1000276,"Brown, Alistair"
amnhp_1000277,"Brown, Ann"
amnhp_1000278,"Brown, Barnum"
amnhp_1000279,"Brown, F. Martin (Frederick Martin), 1903-1993"
amnhp_1000280,"Brown, Lewis Stacy"
amnhp_1000281,"Brown, Toby"
amnhp_1000282,"Browne, Belmore, 1880-1954"
amnhp_1000283,"Browne, Margaret Fitzburgh"
amnhp_1000284,"Brownell, Kenneth Hyde"
amnhp_1000285,"Brownell, Willard"
amnhp_1000286,"Brues, Charles T. (Charles Thomas), 1879-1955"
amnhp_1000287,"Brush, Charles"
amnhp_1000288,"Bryan, Kirk, 1888-1950"
amnhp_1000289,"Bryan, William Alanson, 1875-1942"
amnhp_1000290,"Bryant, Robert G."
amnhp_1000291,"Bryant, William Letchworth"
amnhp_1000292,"Buba, Joy Flinsch, 1904-1998"
amnhp_1000293,"Bucholtz, Otto"
amnhp_1000294,"Buck, Frank, 1884-1950"
amnhp_1000295,"Buckley, S. B. (Samuel Botsford), 1809-1884"
amnhp_1000296,"Buettner-Janusch, John, 1924-1992"
amnhp_1000297,"Bull, Charles Livingston, 1874-1932"
amnhp_1000298,"Bull, John L."
amnhp_1000299,"Bullitt, Margaret R."
amnhp_1000300,"Bumpus, Hermon C. (Hermon Carey), 1862-1943"
amnhp_1000301,"Burbank, E. A. (Elbridge Ayer), 1858-1949"
amnhp_1000302,"Burden, W. Douglas (William Douglas), 1898-1978"
amnhp_1000303,"Burenhult, Göran"
amnhp_1000304,"Burlingham, Frederick"
amnhp_1000305,"Burgess, Helen H."
amnhp_1000306,"Burne, Richard Higgins, 1868-1953"
amnhp_1000307,"Burnham, John B. (John Bird), 1869-1939"
amnhp_1000308,"Burns, Ned J., 1899-"
amnhp_1000309,"Burns, Sheila, 1941-"
amnhp_1000310,"Burns, William A. (William Aloysius), 1909-"
amnhp_1000311,"Burroughs, John, 1837-1921"
amnhp_1000312,"Burrows, Carin"
amnhp_1000313,"Busnel, René Guy"
amnhp_1000314,"Burt, Charles E. (Charles Earl), 1904-1963"
amnhp_1000315,"Butler, Albert E."
amnhp_1000316,"Butler, Frederick B."
amnhp_1000317,"Butler, George, 1838-1907"
amnhp_1000318,"Butler, Howard Russell, 1856-1934"
amnhp_1000319,"Butler, Samuel C."
